session,category,duration,ins_drift,ai_drift,ekf_drift
M,M (Driver B),10598.564999999999,0.7862114258193825,0.1592761485371598,0.02678592116999662
S1,S (Driver A),5174.499000000001,0.8233666667986259,0.10373601093234437,0.0363636094136513
S2,S (Driver A),9387.5,0.03147759750170527,0.025064980501973422,0.004260404717163085
S3a,S (Driver A),2462.0,0.5344496082304891,0.17362987883271055,0.3229783675863336
S3b,S (Driver A),681.1999999999998,1.9028343223405357,1.6555687358116986,0.8153931035332179
S3c,S (Driver A),3718.199,0.6228921268814956,0.4563313321197313,0.04074452505536836
S4,S (Driver A),9459.899,0.005934922319726065,0.06074459739548393,0.25001774377811087
Vfa01,Vf (Driver E),1148.5,0.8922943446937205,0.3826864602664084,0.11845833243671379
Vfa02,Vf (Driver E),6752.201,0.20100281172799375,0.19179398094745012,0.004556363848511211
Vta10,Vta (Driver E),150.10000000000014,36.37423458536317,25.101023512897985,3.5357099724307055
Vta11,Vta (Driver E),50.90000000000009,67.96763652209675,23.18233195490594,11.713433826374436
Vta12,Vta (Driver E),60.90000000000009,26.87654406497138,38.27125678667373,10.01860478335788
Vta13,Vta (Driver E),40.30099999999993,49.44684476675362,41.637158392925535,8.838598603238044
Vta14,Vta (Driver E),288.39999999999986,2.051820498020066,1.2287686064470271,2.2189005601140552
Vta15,Vta (Driver E),83.20000000000005,41.488534471960506,25.088623008873164,4.863761735934351
Vta16,Vta (Driver E),1133.4,0.6753003600227552,0.6979083622455439,0.39550948068139286
Vta17,Vta (Driver E),452.9859999999999,49.368828267374894,6.674927335302083,2.6113244913493943
Vta19,Vta (Driver E),29.101000000000113,59.59124123598717,31.385233559042142,1.5715463511411283
Vta1a,Vta (Driver E),2567.499,4.230053430938059,2.0291092747208914,0.6842607062492447
Vta1b,Vta (Driver E),95.30000000000018,403.6347177544202,2.888940924262516,13.94279527987948
Vta2,Vta (Driver E),1098.998,0.9478102357572318,0.33499429201877234,0.24471467287841142
Vta20,Vta (Driver E),322.2,301.10530706431075,114.77359099168115,65.78145810253787
Vta21,Vta (Driver E),207.8,15.777961288177906,6.599761462480124,2.4291776158441505
Vta22,Vta (Driver E),156.30099999999993,4.239869426268765,1.1764997313616343,1.3837464415183232
Vta23,Vta (Driver E),110.89999999999998,66.69832922301767,9.7662035653034,5.310507165292291
Vta24,Vta (Driver E),117.00099999999998,163.8952738566102,30.585360516682865,4.253840393911458
Vta25,Vta (Driver E),64.49800000000005,403.14321778512164,46.80141195967446,26.230441532830344
Vta26,Vta (Driver E),193.39999999999998,12.455565013089606,7.161630781926695,1.7015081572898063
Vta27,Vta (Driver E),253.9000000000001,68.98858102012237,20.54907421814745,12.120815675090453
Vta28,Vta (Driver E),420.9000000000001,0.011459910572860315,0.027673866258037513,0.5492496059181443
Vta29,Vta (Driver E),2369.7780000000002,2.1097407402147463,0.7815201243127163,0.5862622721225369
Vta3,Vta (Driver E),64400.0,10550.243806687113,709.6332494702624,449.9081557921596
Vta30,Vta (Driver E),1713.5,6.03661570374895,1.283124950011127,0.24883911388155935
Vta4,Vta (Driver E),178.799,51.05579181402771,18.71274063953163,3.4933663876669243
Vta5,Vta (Driver E),30.600000000000023,6.415653503080983,36.69752959715964,12.615346654631892
Vta6,Vta (Driver E),137.5,0.24905216398970192,1.856461744224688,2.0644802393990145
Vta7,Vta (Driver E),83.90000000000003,12.808423508950389,5.545167838990241,5.483385532111259
Vta8,Vta (Driver E),367.5,0.29470880668538163,0.7063611889961292,1.5300191391849398
Vta9,Vta (Driver E),15.497999999999934,28.82647526031952,53.02200616013497,41.793614388530614
Vtb1,Vtb (Driver E),3245.799,0.6613785051020721,0.30768013773058817,0.044769212715919056
Vtb10,Vtb (Driver E),19.50000000000091,38.41116607913698,22.020715760199998,30.96193490618542
Vtb11,Vtb (Driver E),36.0,22.101149691956916,34.58769627079485,17.616133502417664
Vtb12,Vtb (Driver E),44.60099999999875,92.02873900046637,23.859304740789735,11.904217505791514
Vtb2,Vtb (Driver E),571.1,7.886198707366604,4.146431845771784,0.7574337188965173
Vtb3,Vtb (Driver E),823.9,23.781285664270474,12.349096782411713,4.654662008115898
Vtb4,Vtb (Driver E),55.5,118.19938750019112,19.581085627424674,8.928363726005696
Vtb5,Vtb (Driver E),6438.701,0.5453263180231277,0.5918493553931181,0.483908551200677
Vtb6,Vtb (Driver E),49.69999999999982,10.73480201019316,32.780517791276516,7.340051408523883
Vtb7,Vtb (Driver E),46.001000000000204,74.51010137297587,47.85095879859193,15.658514436089552
Vtb8,Vtb (Driver E),66.69999999999982,56.539594795135194,49.26679124332796,7.5341882417286135
Vtb9,Vtb (Driver E),45.09900000000016,9.882742124335625,12.110910598110275,13.72268631028781
Vw1,Vw (Driver E),2047.5,578.7422526822264,169.62528653513746,91.20765278812283
Vw10,Vw (Driver E),65.10000000000036,14.48750396169996,8.134704157393973,4.053312943042772
Vw11,Vw (Driver E),490.7999999999993,8.328501328685642,5.83543700470947,2.4465027737741316
Vw12,Vw (Driver E),91700.0,120.07802799433482,74.16470029000426,3.3492482116750844
Vw13,Vw (Driver E),28300.0,479.0229957510369,188.78084249530784,12.359266107123657
Vw14a,Vw (Driver E),313.70000000000005,10.380032746493725,5.277244589643729,0.4906830483388258
Vw14b,Vw (Driver E),1958.701,3.5740577563361535,0.5266850529535031,0.24722685788116788
Vw14c,Vw (Driver E),1582.5,0.403343706517684,0.25218245215070506,0.021698923805207226
Vw15,Vw (Driver E),137.9,137.7388746170826,325.6345568034758,61.30745725231932
Vw16a,Vw (Driver E),587.799,1.987370616175895,1.8221157650950603,3.160119391694526
Vw16b,Vw (Driver E),112.50099999999998,39.522445173014745,6.720097365389234,3.189685207223166
Vw17,Vw (Driver E),32.80099999999993,18.399486622226977,25.64958498103282,8.175829063698558
Vw2,Vw (Driver E),5271.199,1.5482220625203815,1.5601808732231055,0.05439415417283091
Vw3,Vw (Driver E),386.0009999999993,15.829692888161318,1.5447392379128992,1.9436357789785055
Vw4,Vw (Driver E),12652.5,0.1452230243828877,0.009151831750732612,0.01106280413762285
Vw5,Vw (Driver E),101.10100000000057,65.92333679783685,12.046071491013297,1.893722492135022
Vw6,Vw (Driver E),128.0,75.03278687429365,25.82174687862225,2.1821606422005813
Vw7,Vw (Driver E),160.09900000000016,29.530610041631476,6.842579758819895,6.91532171708645
Vw8,Vw (Driver E),152.79999999999927,37.63428561786323,16.865319537563277,2.074891891835021
Vw9,Vw (Driver E),55.10100000000057,49.18035642295729,34.38573636683117,0.5799300464514127
Y1,Y (Driver D),7028.295,0.08461876506955138,0.13840256451105248,2.510440208072589
